feature,shap_importance
resistance_roll3,21.08157189006035
resistance_rate,2.365443155878115
is_monsoon,0.4235535276288406
resistance_lag1,0.291973878433955
quarter_num,0.045170946071464255
is_winter,0.038803812430430344
district_avg_resistance,0.021493667093078768
resistance_lag2,0.020692335978851253
resistance_acceleration,0.014553242756581191
resistance_std3,0.013153740794121788
sales_lag1,0.010516087578185096
resistance_velocity_pct,0.008090197057955918
sales_roll3,0.006956223046841564
sales_volume_ddd,0.006296275279887213
sales_anomaly_score,0.006189823838982243
resistance_velocity,0.0050474083109855955
sales_extreme_flag,0.004844115062235486
year,0.003770454398506299
resistance_increasing,0.0036261491570926158
state_Karnataka,0.001623590087899941
state_Uttar Pradesh,0.001396440551803204
state_Kerala,0.0013961483910399498
state_Madhya Pradesh,0.001373655704337219
state_Tamil Nadu,0.0013486255230505278
state_West Bengal,0.001275426584968942
state_Maharashtra,0.00122954498584115
state_Gujarat,0.0012210960747049578
state_Odisha,0.001044884772775738
state_Haryana,0.0010279790472123734
state_Punjab,0.0009801046592738652
state_Rajasthan,0.0009365885583223292
state_Bihar,0.0009269609895191572
state_Delhi,0.0008942040817849216
state_Telangana,0.000882691203821745
state_Uttarakhand,0.0008746420446057705
state_Chhattisgarh,0.0006888924558732293
state_Assam,0.0006484699010008214
state_Andhra Pradesh,0.0006198537192879126
state_Jharkhand,0.000500514180633251
is_urban_int,0.00045162305432946455
above_district_avg,0.00015924143075899522
sales_spike_flag,0.0
